suspect_age,suspect_gender,suspected_offense_type,intoxication_level,mental_confusion_level,suspect_aggression_level,suspect_compliance,officer_tone,officer_deescalation_attempts,bystanders_present,environment_risk_level,time_of_day,number_of_officers,force_used_level,interaction_duration_minutes,interaction_score
27,male,suspicious_person,2,2,3,0,1,5,0,1,evening,1,2,21,43.4
42,male,DUI,2,1,1,1,1,5,0,0,day,1,0,32,87.0
45,male,suspicious_person,2,1,1,1,2,4,0,1,day,1,0,31,61.0
19,female,suspicious_person,0,1,2,0,2,2,0,3,,3,2,20,42.0
27,male,violent_crime,2,2,4,3,3,0,1,3,night,4,4,3,12.4
53,unknown,warrant,2,0,1,0,1,2,1,3,late_night,4,2,18,29.8
18,female,traffic_violation,0,0,1,3,2,1,0,1,evening,3,0,16,84.2
30,Male,domestic_disturbance,1,1,1,0,1,0,0,1,day,3,1,15,54.2
37,male,domestic_disturbance,2,1,2,2,1,4,0,2,day,2,0,25,70.9
27,male,domestic_disturbance,0,1,2,0,2,3,1,2,evening,3,1,28,46.3
22,,theft,0,1,1,2,2,0,0,2,night,3,1,20,67.3
29,male,DUI,2,1,2,2,1,5,0,2,night,3,1,34,65.7
63,male,traffic_violation,0,0,2,1,1,1,0,2,day,3,1,14,50.2
63,male,traffic_violation,0,0,1,1,0,2,1,1,night,2,1,13,86.2
32,male,,0,0,1,2,2,3,1,2,day,2,0,,81.4
21,male,suspicious_person,1,2,2,2,1,3,1,1,DAY,3,1,21,49.2
54,male,public_intoxication,3,3,2,0,3,5,1,1,late_night,1,2,27,30.7
33,male,public_intoxication,3,1,3,0,2,3,0,1,night,3,1,16,34.6
16,male,suspicious_person,0,0,1,1,1,2,0,1,day,1,2,9,74.4
42,male,traffic_violation,0,1,0,2,1,0,0,1,day,2,0,12,73.6
NA,male,suspicious_person,0,1,0,0,2,2,0,0,day,2,0,21,74.6
16,male,theft,0,0,2,1,2,2,1,2,late_night,4,2,16,53.2
34,female,DUI,1,0,0,1,2,3,0,0,late_night,1,0,22,85.5
,male,public_intoxication,2,0,1,0,1,2,1,0,evening,2,1,13,82.6
43,male,suspicious_person,1,0,1,1,1,2,0,2,evening,1,1,15,68.6
42,female,suspicious_person,0,0,2,1,1,4,0,1,evening,2,1,15,77.1
,female,theft,0,0,2,1,1,2,1,0,evening,3,0,12,73.5
36,,violent_crime,2,1,2,2,2,1,0,3,day,5,2,9,46.5
34,male,other,1,0,0,0,1,2,0,2,day,2,0,10,84.0
42,male,public_intoxication,2,2,1,1,1,4,0,1,day,2,0,31,52.3
24,male,traffic_violation,0,0,1,3,1,2,0,2,late_night,2,1,6,76.8
38,male,traffic_violation,1,0,1,3,0,0,1,1,day,2,0,11,83.0
41,male,traffic_violation,0,0,0,3,1,2,0,1,late_night,1,0,7,100.0
20,male,traffic_violation,0,0,1,2,1,0,1,1,evening,1,1,3,77.3
26,female,traffic_violation,1,1,2,1,1,1,0,2,evening,3,0,5,61.8
35,male,other ,0,0,3,2,2,2,0,2,,2,1,20,57.9
23,male,warrant,1,0,1,1,2,4,0,0,evening,1,1,1,90.8
33,male,theft,1,1,2,3,1,2,1,2,late_night,3,1,12,61.3
25,unknown,DUI,3,0,2,2,1,4,0,1,day,2,0,29,81.3
48,male,DUI,1,1,3,1,2,4,0,1,evening,3,1,21,58.3
35,male,traffic_violation,0,0,0,2,2,0,0,3,night,1,0,11,88.9
52,M,mental_health_crisis,0,3,1,0,2,7,0,2,day,3,1,33,76.3
39,male,other,1,0,2,0,1,2,1,2,day,3,1,19,54.2
unknown,male,mental_health_crisis,0,3,3,0,2,5,0,2,evening,3,1,37,36.1
24,female,domestic_disturbance,1,2,1,0,2,4,1,3,evening,3,1,21,56.1
30,male,mental_health_crisis,2,2,1,0,1,5,0,2,day,4,0,34,61.3
34,male,public_intoxication,2,2,1,0,1,6,0,1,late_night,3,2,24,67.2
24,female,warrant,1,1,2,0,1,2,0,1,day,2,2,21,30.5
34,male,other,1,0,2,0,1,2,0,0,day,2,0,10,75.2
42,male,public_intoxication,3,1,1,0,2,1,0,3,late_night,4,2,12,29.5
33,female,warrant,1,0,1,2,2,1,1,2, day ,2,1,7,75.7
31,male,violent_crime,1,1,3,2,3,1,0,3,LateNight,6,2,18,27.3
28,female,public_intoxication,1,0,2,3,2,2,0,0,evening,1,1,15,12.4
25,female,DUI,2,1,1,2,1,3,0,1,evening,1,0,34,89.1
25,male,warrant,1,0,0,1,1,3,0,2,day,2,0,19,75.9
20,male,traffic_violation,0,0,2,3,1,1,0,0,day,2,0,9,92.4
38,male,violent_crime,0,1,3,0,2,1,1,2,evening,4,3,18,36.7
48,male,traffic_violation,0,1,1,2,1,3,0,1,night,2,0,20,90.5
34,unknown,mental_health_crisis,1,2,1,2,1,4,0,1,day,2,0,42,81.2
39,male,traffic_violation,1,0,3,0,1,2,0,1,night,2,2,21,41.6
unknown,female,violent_crime,1,0,3,1,2,2,0,3,night,4,3,10,48.4
16,,traffic_violation,0,0,2,2,2,1,0,0,late_night,1,1,12,71.8
25,male,violent_crime,2,0,4,0,2,1,1,3,late_night,5,4,1,9.6
,unknown,mental_health_crisis,0,2,2,1,2,5,0,0,day,2,0,51,94.8
27,female,theft,1,1,3,2,2,1,1,3,day,2,1,27,32.1
17,male,traffic_violation,2,1,1,1,2,2,0,0,day,1,0,17,84.3
41,male,DUI,2,1,1,0,1,5,0,1,Evening,2,0,28,63.9
36,male,,0,1,1,1,2,2,0,0,night,2,0,4,82.9
40,male,domestic_disturbance,1,0,1,1,2,2,1,2,evening,3,1,28,75.9
28,male,public intox,2,0,1,1,1,4,0,1,late_night,2,1,34,78.3
36,male,DUI,2,1,0,1,0,5,0,2,day,1,1,30,58.1
36,male,suspicious_person,0,1,1,0,1,3,0,0,late_night,3,1,19,67.4
17,male,theft,1,0,2,2,2,0,1,2,evening,2,1,13,62.1
18,male,DUI,3,0,1,2,2,6,0,2,night,1,0,30,74.7
27,unknown,public_intoxication,2,1,4,2,1,2,0,2,evening,3,0,29,87.6
32,male,traffic_violation,0,0,0,1,2,1,0,1,day,2,0,2,71.5
36,male,mental_health_crisis,0,2,2,0,3,6,1,1,day,3,1,32,62.3
26,male,DUI,2,1,1,3,2,1,0,0,night,3,0,42,90.9
44,female,public_intoxication,3,3,2,0,2,2,1,0,night,2,1,19,21.8
31,male,domestic_disturbance,1,1,4,0,2,1,0,1,night,3,2,23,18.6
43,male,theft,0,1,2,1,2,3,1,0,night,2,0,24,64.9
18,male,theft,0,0,2,1,2,2,0,0,evening,2,1,14,77.8
33,male,theft,1,0,0,3,1,0,1,2,day,2,0,1,83.5
16,female,domestic_disturbance,2,2,4,0,1,6,1,2,day,12,0,31,96.5
22,male,public_intoxication,2,1,1,1,1,4,1,1,night,3,1,20,76.4
26,male,traffic_violation,1,1,1,2,2,1,1,0,day,1,0,19,83.5
25,female,theft,0,0,2,1,1,2,1,1,evening,1,1,9,65.5
47,male,mental_health_crisis,1,2,1,1,1,8,0,1,day,2,0,46,78.4
32,male,,0,1,1,3,1,1,1,2,day,3,0,10,12.4
23,male,traffic_violation,1,0,1,1,1,3,0,1,late_night,1,0,12,87.7
47,female,traffic_violation,0,0,2,1,2,2,0,1,late_night,2,0,22,60.4
27,male,traffic_violation,2,2,0,3,1,4,0,1,evening,2,0,NA,100.0
36,male,other,2,1,4,0,2,3,0,0,night,3,2,18,22.7
16,female,mental_health_crisis,1,3,1,0,2,4,1,3,evening,4,1,38,35.7
61,male,warrant,0,1,4,0,2,3,0,1,evening,3,3,8,29.0
46,female,mental_health_crisis,0,2,1,0,1,6,0,1,day,2,1,49,65.0
24,male,traffic_violation,2,2,0,2,1,2,0,1,evening,2,0,17,80.1
57,male,traffic_violation,1,1,2,2,1,2,0,0,late_night,1,1,21,98.4
28,male,theft,0,0,2,3,2,4,1,0,evening,2,0,25,98.8
37,male,theft,0,0,3,1,3,1,1,1,day,1,2,10,49.2
43,male,mental_health_crisis,0,3,2,1,0,6,0,1,day,2,0,41,85.2
,male,traffic_violation,1,1,0,2,0,0,0,1,evening,1,0,18,88.5
36,female,theft,1,0,1,1,1,3,0,1,day,3,1,29,84.6
20,female,theft,0,0,2,2,1,2,0,2,night,3,1,12,74.3
30,female,traffic_violation,0,1,1,2,2,0,1,1,evening,2,0,14,65.5
28,male,domestic_disturbance,1,0,0,3,1,4,0,1,evening,3,0,29,97.2
34,male,warrant,0,0,3,0,1,0,0,1,,3,1,4,61.8
39,female,traffic_violation,0,0,3,2,1,1,0,1,late_night,2,0,16,69.0
22,female,shoplifting,0,1,1,2,2,2,1,1,day,2,1,1,65.7
42,male,violent_crime,2,1,3,0,2,3,1,3,late_night,4,3,6,31.9
38,female,violent_crime,2,1,1,0,3,2,1,3,late_night,4,2,17,58.8
31,male,violent_crime,1,2,3,0,3,2,1,3,evening,4,3,5,17.1
42,male,mental_health_crisis,0,1,3,0,1,4,0,1,evening,3,2,24,46.3
58,female,DUI,3,0,1,1,2,1,0,0,evening,2,0,34,58.0
21,female,suspicious_person,0,0,3,1,3,3,0,2,late_night,3,1,26,48.8
NA,female,traffic_violation,0,1,1,3,1,0,0,2, late_night ,2,0,14,86.2
40,male,violent_crime,2,1,4,0,3,0,1,3,evening,5,3,1,22.4
23,female,public_intoxication,2,2,2,0,1,4,0,2,evening,2,1,21,50.0
48,male,theft,0,0,1,1,1,1,1,1,day,1,0,16,79.8
16,male,traffic_violation,0,1,2,3,0,4,0,1,evening,1,0,15,97.4
45,male,traffic_violation,1,0,0,3,2,4,0,1,evening,1,0,10,100.0
unknown,male,DUI,3,2,2,0,2,5,0,1,night,1,1,27,37.0
24,female,domestic_disturbance,2,1,2,3,2,5,0,1,day,3,0,36,58.2
40,male,other,1,1,0,2,1,3,0,2,EVENING,3,0,20,81.9
23,female,violent_crime,3,0,2,2,3,0,1,3,day,5,2,13,34.7
41,female,traffic_violation,0,1,0,2,1,0,0,1,day,2,0,10,81.9
27,male,DUI,2,0,1,2,1,4,0,2,day,3,1,27,88.4
28,male,traffic_violation,2,0,1,2,1,2,0,1,night,0,0,16,87.4
16,female,violent_crime,1,1,2,0,2,1,0,3,day,5,3,10,42.0
24,male,other,0,0,1,0,1,1,1,1, day ,2,1,26,73.5
26,unknown,warrant,1,1,2,0,2,2,1,1,late_night,3,2,13,45.6
49,male,mental_health_crisis,0,2,2,1,1,6,0,2,evening,3,2,42,58.7
29,female,theft,0,0,1,1,1,2,1,3,night,2,2,13,51.8
34,male,domestic_disturbance,1,1,1,2,2,4,0,2,late_night,2,2,16,60.7
25,male,suspicious_person,1,2,1,2,1,3,0,2,day,3,0,23,89.6
17,female,traffic_violation,0,0,0,2,0,3,0,0,day,1,0,10,100.0
30,female,traffic_violation,0,0,0,3,0,3,0,1,day,2,0,28,100.0
27,male,public_intoxication,3,3,4,0,2,3,0,2,late_night,3,2,23,0.4
48,female,traffic_violation,1,0,0,3,1,2,0,2,night,1,0,13,97.3
50,male,domestic_disturbance,0,0,4,1,2,2,1,2,evening,3,2,19,36.4
30,female,other,0,0,1,1,1,3,1,1,evening,2,0,20,76.1
48,female,domestic_disturbance,0,0,1,2,1,3,1,2,evening,3,0,18,89.0
24,male,theft,1,1,3,0,2,3,1,2,evening,3,3,17,26.6
33,female,theft,0,0,2,2,2,2,0,2,day,3,1,16,72.7
31,male,traffic stop,2,0,0,1,1,0,0,1,day,1,1,10,70.5
39,male,public_intoxication,2,2,3,0,2,6,1,2,evening,4,2,20,24.0
46,male,other,0,1,1,1,1,2,0,1,day,3,1,18,72.9
31,male,DUI,3,2,3,0,2,5,0,2,day,3,2,NA,36.9
25,male,mental_health_crisis,0,3,2,0,2,4,0,2,day,3,3,31,34.2
46,male,mental_health_crisis,0,2,2,0,2,8,1,1,day,3,3,27,56.2
27,female,public_intoxication,2,1,2,0,2,1,1,1,evening,2,1,27,35.9
39,male,other,0,1,0,1,0,2,1,1,evening,2,1,12,71.6
30,M,public_intoxication,3,3,1,0,2,3,1,2,day,3,1,26,30.2
32,male,public_intoxication,0,2,1,1,3,3,0,2,NIGHT,2,2,16,58.4
36,male,theft,1,1,2,0,1,4,1,1,day,3,1,19,42.8
47,male,mental_health_crisis,1,3,1,1,1,5,0,2,evening,4,1,33,64.8
39,male,suspicious_person,1,1,0,2,2,2,0,1,night,2,0,9,87.5
45,female,mental_health_crisis,2,2,2,0,2,6,1,1,day,1,1,41,46.0
30,male,DUI,2,0,2,1,1,5,1,0,night,2,0,25,87.9
25,male,drunk_driving,2,0,0,0,1,4,0,1,day,2,0,24,75.3
31,male,suspicious_person,0,0,2,1,2,4,0,2,day,2,1,14,69.8
53,unknown,other,2,0,1,0,2,4,0,1,day,3,1,13,58.5
36, female ,other,0,1,1,1,1,0,0,2,night,3,1,13,74.9
39,male,traffic_violation,2,1,1,2,2,3,0,1,late_night,2,0,17,89.8
23,male,traffic_violation,1,1,1,1,1,1,0,0,evening,1,0,14,72.7
34,female,traffic_violation,1,0,0,1,1,2,0,1,day,1,0,17,87.2
40,female,suspicious_person,1,0,1,1,2,3,0,0,late_night,2,0,21,97.5
29,,DUI,1,1,1,2,2,3,0,2,late_night,2,0,26,87.2
33,male,traffic_violation,0,0,0,3,1,3,0,0,late_night,1,0,14,100.0
18,female,traffic_violation,0,1,0,2,1,5,0,1,day,3,0,14,100.0
23,male,mental_health_crisis,0,1,0,0,1,5,0,2,NA,3,1,30,83.5
33,male,domestic_disturbance,2,1,2,1,2,5,0,3,evening,4,1,14,62.0
42,female,theft,1,1,0,3,2,1,0,2,late_night,2,0,35,88.9
27,male,traffic_violation,0,1,0,2,1,2,0,1,NA,2,0,21,87.3
20,female,theft,0,1,1,1,1,2,1,1,day,2,0,27,64.6
51,female,mental_health_crisis,0,1,2,1,1,5,0,2,late_night,4,1,44,55.6
42,unknown,public_intoxication,3,2,3,0,3,4,1,1,day,3,2,32,14.1
16,female,theft,0,0,2,0,1,1,1,3,night,3,2,1,55.5
26,male,warrant,0,2,1,0,1,3,0,0,late_night,2,1,21,67.0
39,male,other,1,1,1,1,1,4,0,1,day,2,0,18,64.4
41,male,warrant,0,0,0,0,2,4,0,1,evening,2,1,14,59.3
27,unknown,theft,1,2,2,3,2,2,1,0,evening,2,4,16,27.1
29,unknown,warrant,0,1,1,0,2,2,0,2,late_night,2,2,13,47.4
52,male,traffic_violation,0,0,0,3,1,3,0,0,evening,1,0,15,100.0
22,male,DUI,2,1,1,1,1,4,0,2,day,3,0,31,82.8
32,female,traffic_violation,2,0,1,1,1,3,0,1,evening,3,0,17,83.8
44,male,domestic_disturbance,0,0,1,2,1,2,1,2,day,3,0,17,86.3
42,Male,traffic_violation,0,0,0,2,1,3,0,1,night,1,1,12,100.0
43,male,domestic_disturbance,0,1,2,1,2,5,0,2,night,4,1,20,74.5
44,Unknown,mental_health_crisis,0,1,2,0,1,7,0,2,day,4,1,34,68.8
36,male,traffic_violation,1,0,2,3,1,1,0,1,evening,3,0,11,78.4
33,female,public intox,2,3,1,1,2,6,0,2,day,2,1,28,64.5
30,female,traffic_violation,0,0,1,1,1,2,0,0,day,2,0,11,90.2
45,female,DUI,3,2,1,1,1,3,0,0,night,1,1,32,62.4
41,male,other,0,0,0,2,1,1,1,1,night,2,0,12,100.0
18,male,theft,0,0,4,0,3,2,1,1,night,4,3,16,19.8
34,male,domestic_disturbance,0,0,1,2,2,3,0,1,night,3,0,24,98.8
16,male,domestic_disturbance,1,1,2,0,2,5,0,0,evening,2,2,22,65.9
44,female,traffic_violation,0,0,1,2,2,0,0,1,day,2,0,15,74.4
44,male,traffic_violation,0,0,0,3,1,3,0,0,evening,1,0,8,100.0
31,male,suspicious_person,0,1,1,0,1,1,0,0,late_night,2,0,20,75.0
17,male,mental_health_crisis,0,3,1,0,1,6,0,3,evening,4,3,28,49.7
16,female,theft,1,0,1,2,1,2,1,2,night,2,0,25,75.5
44,male,warrant,1,2,2,0,3,2,0,2,evening,3,2,25,31.6
16,female,violent_crime,2,1,4,0,2,1,1,3,evening,5,4,5,24.0
28,female,other,0,0,1,1,1,5,0,1,day,1,4,3,85.2
33,male,public_intoxication,1,2,1,0,2,4,1,2,night,4,2,17,50.2
28,male,theft,1,1,2,2,2,4,0,1,evening,1,0,13,71.7
42,male,theft,0,0,2,1,1,3,1,1,evening,1,1,22,78.7
41,male,traffic_violation,0,1,1,1,2,4,0,0,day,2,1,5,82.3
44,male,traffic_violation,0,0,0,2,1,1,0,1,evening,2,0,10,100.0
16,unknown,,0,0,0,3,2,2,0,0,day,1,0,27,100.0
54,male,mental_health_crisis,0,3,2,0,1,5,0,2,evening,3,1,40,55.7
22,male,traffic_violation,0,0,0,3,2,0,0,2,late_night,1,0,6,95.4
37,female,theft,1,2,2,1,1,3,1,2,late_night,2,0,28,55.5
38,female,mental_health_crisis,1,2,2,0,2,5,0,1,day,2,2,34,41.6
27,male,other,1,2,1,1,2,3,0,1,late_night,3,1,24,76.8
34,male,traffic_violation,0,0,1,1,2,0,0,1,evening,2,1,23,61.7
,male,suspicious_person,1,1,1,0,1,0,0,2,night,2,1,20,47.2
23,male,theft,0,1,2,2,1,3,1,1,late_night,2,0,25,84.1
33,male,other,1,0,0,2,1,1,0,1,day,1,0,16,95.3
45,male,violent_crime,0,1,3,0,2,0,0,1,evening,4,3,5,35.5
18,male,DUI,3,0,1,1,2,3,0,1,day,2,0,31,66.0
unknown,male,mental_health_crisis,0,2,2,0,2,5,0,1,NA,3,2,24,70.1
43,male,traffic_violation,0,0,0,2,2,1,1,0,evening,2,0,21,100.0
,male,traffic_violation,1,1,1,2,2,0,1,1,evening,1,0,8,92.6
39,female,mental_health_crisis,0,3,0,1,2,6,0,1,night,4,0,35,86.4
18,male,domestic_disturbance,1,1,2,0,1,3,0,1,evening,2,1,17,60.2
42,male,suspicious_person,1,0,0,1,1,2,0,2,late_night,2,0,8,91.3
56,male,suspicious_person,1,1,1,1,1,3,0,2,evening,1,1,16,79.3
21,unknown,DUI,0,1,1,3,1,5,0,3,evening,3,0,36,99.6
38,male,violent_crime,1,0,2,0,2,0,1,3,day,5,3,4,49.2
25, male ,other,0,0,1,2,1,0,1,0,evening,3,0,13,84.5
unknown,male,theft,1,1,1,1,1,3,0,2,night,3,1,10,70.3
16,female,violent_crime,2,2,3,0,3,3,0,2,evening,4,4,10,29.3
16,male,public_intoxication,3,1,1,1,1,0,0,2,evening,2,1,19,62.2
16,female,public_intoxication,1,1,1,0,1,2,1,2,late_night,1,4,3,51.1
37,male,mental health crisis,0,2,2,0,1,6,0,1,evening,3,3,26,55.2
17,female,other,1,1,2,1,1,2,0,1,night,2,0,19,73.4
54,male,other,1,2,3,0,1,1,0,2,evening,3,1,15,42.7
27,male,other,0,2,1,1,2,2,0,1,day,3,0,17,78.8
35,female,domestic_disturbance,1,0,1,1,1,3,0,2,NA,4,1,16,62.7
40,male,warrant,1,0,2,1,2,2,0,1,night,2,1,11,78.0
17,female,traffic_violation,1,0,2,1,2,0,1,1,evening,2,2,14,61.6
33,female,traffic_violation,0,0,1,3,0,2,0,1,night,2,0,17,91.1
23,female,mental_health_crisis,0,2,0,0,2,4,0,3,day,3,1,37,57.3
51,female,traffic_violation,0,0,0,3,1,3,0,0,evening,1,0,8,97.4
47,male,theft,1,1,2,2,1,5,0,0,late_night,3,1,24,80.7
27,female,traffic_violation,0,0,0,3,1,3,0,1,evening,2,0,16,100.0
35,male,violent_crime,1,1,3,1,2,2,0,3,late_night,5,3,20,45.1
29,male,traffic_violation,1,1,2,2,2,0,1,1,day,1,0,20,63.7
18,unknown,DUI,1,1,1,0,2,3,0,1,day,3,1,24,37.3
24,female,traffic_violation,2,0,1,2,1,1,0,1,day,2,0,21,86.6
29,M,domestic_disturbance,1,1,3,0,2,2,1,3,evening,5,2,28,12.8
32,female,traffic_violation,0,0,2,1,1,4,0,1,day,1,1,15,68.5
44,male,suspicious_person,1,2,2,2,2,1,0,1,day,1,0,15,75.8
38,male,violent_crime,1,1,4,0,3,1,1,3,late_night,4,4,2,32.6
32,male,traffic_violation,0,0,2,2,1,3,1,2,night,2,0,23,88.2
21,female,DUI,2,2,1,0,1,4,0,2,late_night,3,1,28,66.0
31,male,violent_crime,2,1,2,1,2,3,1,3,night,5,3,13,45.1
29,male,public_intoxication,2,1,2,1,3,2,0,2,evening,4,2,23,36.3
37,female,traffic_violation,0,0,1,2,1,3,0,1,night,2,0,15,88.7
20,male,DUI,2,2,0,0,1,3,1,1,day,1,1,38,72.7
34, male ,public_intoxication,2,2,2,1,1,5,1,0,day,2,1,24,62.0
44,female,suspicious_person,1,0,2,1,2,2,0,0,late_night,1,0,24,70.4
19,male,theft,0,2,3,1,2,2,0,1,day,1,1,25,43.0
29,male,mental_health_crisis,1,2,1,0,1,5,0,2,night,3,1,43,56.2
28,Female,DUI,1,2,1,2,1,5,0,2,day,2,0,33,88.8
unknown,male,violent_crime,1,1,3,0,2,1,1,2,Evening,5,3,18,25.0
43,male,traffic_violation,1,1,2,2,2,3,0,1,evening,2,0,,82.0
16,male,domestic_disturbance,0,0,2,1,1,3,0,1,day,3,1,24,74.0
37,female,warrant,0,1,0,1,2,1,0,1,evening,2,0,12,76.8
16,male,theft,0,0,3,0,2,3,0,1,day,1,3,13,20.6
16,female,traffic_violation,0,0,2,2,2,3,0,0,evening ,1,1,,89.7
20,male,DUI,1,1,1,1,2,4,0,0,evening,2,0,39,78.2
29,male,domestic_disturbance,1,2,3,0,2,0,0,2,late_night,4,2,28,20.3
25,female,mental_health_crisis,0,3,1,0,1,7,0,0,late_night,2,1,44,60.0
25,female,theft,0,0,2,1,1,4,1,1,evening,1,0,35,77.7
29,male,violent_crime,0,0,4,0,2,3,1,3,day,5,3,14,60.6
32,male,DUI,3,2,2,1,2,5,1,1,day,2,1,44,54.6
35,female,other,0,1,2,1,2,2,0,1,day,3,1,12,57.7
34,male,traffic_violation,0,0,0,3,1,4,0,1,evening,2,0,75,100.0
22,male,warrant,0,1,0,2,2,1,0,1,late_night,2,1,18,77.8
31,male,mental_health_crisis,0,3,2,0,1,4,0,1,day,2,1,44,48.8
23,male,DUI,3,0,0,3,1,6,1,0,day,1,0,34,100.0
16,male,theft,0,1,1,0,2,3,0,1,night,3,1,20,82.7
25,male,traffic_violation,0,0,0,2,1,3,1,2,evening,2,0,16,100.0
18,male,DUI,2,0,2,0,2,1,0,1,NA,1,1,20,36.1
18,female,DUI,2,2,4,0,2,7,0,1,night,2,3,29,25.9
23,male,mental_health_crisis,0,2,2,2,1,7,0,1,day,3,1,37,74.6
18,male,traffic_violation,0,1,0,2,2,3,0,1,evening,2,0,14,100.0
38,male,mental_health_crisis,1,0,1,0,2,5,1,1,evening,4,1,32,71.1
26,female,warrant,0,0,1,1,1,0,0,2,late_night,4,0,22,100.0
54,male,domestic_disturbance,0,1,2,1,3,4,0,2,night,3,1,28,70.5
40,male,suspicious_person,1,1,1,1,1,3,1,2,day,3,1,8,73.6
48,female,traffic_violation,1,0,3,2,1,1,0,1,night,2,0,8,71.3
26,female,public_intoxication,2,1,3,0,2,4,1,2,late_night,5,3,12,29.2
41,female,theft,1,0,1,1,2,4,1,1,late_night,1,0,20,81.9
27,male,warrant,1,0,0,1,1,3,0,2,day,3,0,7,93.5
55,unknown,traffic_violation,1,0,1,2,1,1,0,0,night,1,0,21,79.2
16,female,other,0,0,0,3,2,2,0,2,evening,3,0,21,99.5
42,male,traffic_violation,1,0,2,1,1,4,1,0,day,1,0,10,86.8
26,male,theft,0,0,3,0,1,2,1,0,night,2,1,20,70.6
61,male,theft,1,2,1,1,1,4,1,2,night,2,1,15,75.5
41,female,mental_health_crisis,0,2,2,1,1,7,0,2,evening,4,2,38,71.3
unknown,female,public_intoxication,2,1,3,0,1,2,0,1,night,4,1,16,49.3
16,male, theft ,0,0,2,1,2,2,1,2,day,3,2,11,69.2
31,female,public_intoxication,3,1,1,0,2,1,0,1,day,3,1,12,48.8
51,male,mental_health_crisis,1,2,2,1,1,6,0,1,night,2,1,36,78.7
28,Female,violent_crime,0,1,3,0,3,1,1,3,day,3,4,13,24.6
24,female,traffic_violation,0,1,2,0,1,1,0,1,day,1,1,14,62.1
42,male,domestic_disturbance,2,0,2,0,3,1,1,2,day,4,1,17,54.5
43,male,theft,1,0,3,0,1,3,1,2,evening,2,2,14,46.0
33,male,DUI,2,2,1,1,2,5,0,1,day,2,0,34,66.0
31,female,traffic stop,0,1,1,2,1,2,1,2,night,3,0,15,77.7
31,male,other,1,1,2,1,2,3,1,1,day,2,2,18,55.2
30,male,public_intoxication,2,1,2,1,1,6,1,2,evening,3,1,23,62.9
16,male,traffic_violation,0,0,0,3,1,0,1,2,night,3,0,11,94.3
19,male,theft,2,2,0,0,2,4,0,1,day,3,1,19,63.3
18,male,DUI,1,2,1,2,1,7,0,1,evening,1,0,36,86.2
35,male,suspicious_person,1,1,2,0,1,3,1,1,late_night,2,2,21,48.7
39,male,domestic_disturbance,0,0,1,1,1,3,0,1,day,2,0,30,74.6
39,female,public_intoxication,2,1,3,1,2,0,0,2,day,3,1,NA,19.7
34,male,NA,1,0,3,0,2,0,1,3,evening,5,3,14,37.5
35,female,violent_crime,1,0,4,0,2,0,0,2,day,5,3,10,42.8
32,male,suspicious_person,0,1,1,2,1,4,1,1,day,3,0,21,93.0
39,male,DUI,3,1,2,2,1,5,0,0,EVENING,1,1,27,75.5
41,female,violent_crime,2,2,3,0,3,2,0,3,evening,5,3,20,20.6
29,male,public_intoxication,2,1,1,0,2,0,0,1,evening,3,1,15,60.3
32,male,theft,0,0,1,2,2,2,1,1,evening,2,1,16,93.5
33,female,warrant,1,0,1,0,1,1,0,0,day,2,2,14,70.5
39,male,mental_health_crisis,0,3,0,3,0,7,0,0,evening,2,0,34,100.0
21,male,mental_health_crisis,0,2,1,1,0,6,0,1,evening,3,1,37,80.5
46,female,DUI,3,1,2,0,1,3,0,2,night,2,1,22,42.6
37,unknown,traffic_violation,1,0,1,1,1,0,1,1,evening,3,0,17,71.2
40,female,traffic_violation,1,1,0,3,1,0,0,1,evening,2,0,12,91.4
19,female,other,0,1,0,3,1,2,1,0,day,3,4,1,80.9
19,female,other,0,0,1,2,1,3,1,1,day,1,1,15,83.5
16,male,theft,0,0,2,0,3,2,0,1,late_night,2,1,20,53.7
36,male,domestic_disturbance,1,1,2,1,1,4,1,3,night,3,1,20,55.9
33,unknown,traffic_violation,1,0,0,2,1,1,0,1,evening,1,0,18,81.2
26,male,violent_crime,0,0,2,0,2,2,0,3,day,4,2,11,38.9
42,male,mental_health_crisis,1,2,2,0,1,5,0,1,day,3,2,34,61.0
16,female,traffic_violation,1,0,1,2,2,2,0,1,day,1,0,19,84.1
36,male,traffic_violation,0,1,1,2,1,1,0,2,night,2,0,16,88.1
41,M,warrant,1,0,2,2,2,3,0,1,day,3,2,5,69.5
50,male,suspicious_person,2,1,2,2,2,3,0,1,day,1,0,20,76.5
49,female,other,0,0,1,2,1,2,0,2,day,1,1,12,78.6
16,male,domestic_disturbance,2,2,2,1,2,5,1,2,day,3,2,,51.8
26,male,public_intoxication,1,0,2,0,1,3,1,1,night,3,1,29,51.1
18,female,traffic_violation,1,0,0,3,1,2,0,0,day,2,0,18,100.0
37,male,DUI,2,0,1,1,1,4,0,2,evening,2,0,NA,90.0
36,female,other,1,0,0,2,1,0,0,1,evening,2,0,10,96.9
NA,male,theft,0,0,2,1,1,2,0,1,evening,2,1,18,79.1
29,male,warrant,0,0,0,1,2,1,0,0,evening,2,1,17,86.2
24,male,other,0,0,3,2,2,2,0,1,night,2,1,20,69.6
16,male,mental_health_crisis,0,3,2,0,1,4,0,2,night,4,2,33,36.7
40,male,suspicious_person,1,0,1,1,1,3,0,1,evening,2,1,1,95.0
21,male,other,0,0,0,1,2,1,0,0,evening,2,0,21,80.8
